citizenId,name,gender,dob,occupation,incomeCategory,mobile
C00001,Citizen_1,M,1997-09-07,Unemployed,Middle,9000000000
C00002,Citizen_2,F,2009-06-26,Private Employee,High,9000000001
C00003,Citizen_3,M,1966-07-01,Retired,Middle,9000000002
C00004,Citizen_4,M,1978-04-16,Retired,Low,9000000003
C00005,Citizen_5,F,1969-12-22,Farmer,High,9000000004
C00006,Citizen_6,F,1979-09-23,Agricultural Labour,Middle,9000000005
C00007,Citizen_7,F,2000-04-16,Business Owner,High,9000000006
C00008,Citizen_8,F,1963-06-05,Government Employee,High,9000000007
C00009,Citizen_9,M,2004-12-02,Private Employee,Middle,9000000008
C00010,Citizen_10,F,1979-11-28,Private Employee,Low,9000000009
C00011,Citizen_11,F,1981-07-22,Retired,Middle,9000000010
C00012,Citizen_12,F,1985-02-17,Business Owner,Middle,9000000011
C00013,Citizen_13,M,2004-09-13,Agricultural Labour,Low,9000000012
C00014,Citizen_14,F,2008-10-28,Farmer,High,9000000013
C00015,Citizen_15,F,1989-11-06,Private Employee,Middle,9000000014
C00016,Citizen_16,F,1978-03-07,Government Employee,High,9000000015
C00017,Citizen_17,M,2007-11-01,Student,High,9000000016
C00018,Citizen_18,M,2003-03-13,Unemployed,High,9000000017
C00019,Citizen_19,M,1963-02-12,Retired,Low,9000000018
C00020,Citizen_20,M,1967-09-21,Student,High,9000000019
C00021,Citizen_21,F,1969-11-24,Unemployed,Low,9000000020
C00022,Citizen_22,M,1967-04-13,Retired,Middle,9000000021
C00023,Citizen_23,M,2001-12-13,Agricultural Labour,Middle,9000000022
C00024,Citizen_24,F,1977-11-21,Retired,Middle,9000000023
C00025,Citizen_25,M,1967-02-03,Agricultural Labour,Middle,9000000024
C00026,Citizen_26,M,1961-10-19,Retired,Middle,9000000025
C00027,Citizen_27,M,2010-10-06,Unemployed,Middle,9000000026
C00028,Citizen_28,F,1979-10-05,Agricultural Labour,Middle,9000000027
C00029,Citizen_29,M,2005-09-06,Unemployed,High,9000000028
C00030,Citizen_30,M,1985-09-27,Retired,Low,9000000029
C00031,Citizen_31,M,2008-04-22,Agricultural Labour,Low,9000000030
C00032,Citizen_32,M,1960-09-15,Student,Low,9000000031
C00033,Citizen_33,M,1968-10-07,Private Employee,Low,9000000032
C00034,Citizen_34,F,2008-01-03,Agricultural Labour,High,9000000033
C00035,Citizen_35,F,1983-09-06,Unemployed,High,9000000034
C00036,Citizen_36,M,1975-05-02,Business Owner,High,9000000035
C00037,Citizen_37,F,1968-10-16,Student,High,9000000036
C00038,Citizen_38,F,1998-09-17,Government Employee,High,9000000037
C00039,Citizen_39,M,2002-01-08,Farmer,Low,9000000038
C00040,Citizen_40,M,1979-04-05,Government Employee,High,9000000039
C00041,Citizen_41,F,1977-03-24,Unemployed,Low,9000000040
C00042,Citizen_42,F,1976-07-21,Private Employee,Middle,9000000041
C00043,Citizen_43,F,1965-05-22,Unemployed,High,9000000042
C00044,Citizen_44,M,1994-04-03,Business Owner,High,9000000043
C00045,Citizen_45,M,2005-06-19,Private Employee,Middle,9000000044
C00046,Citizen_46,M,1980-07-13,Farmer,High,9000000045
C00047,Citizen_47,M,1964-05-04,Agricultural Labour,High,9000000046
C00048,Citizen_48,F,1964-06-21,Agricultural Labour,Middle,9000000047
C00049,Citizen_49,F,2009-05-05,Government Employee,Middle,9000000048
C00050,Citizen_50,M,1966-07-08,Unemployed,Low,9000000049
C00051,Citizen_51,M,1971-09-24,Business Owner,High,9000000050
C00052,Citizen_52,F,1966-09-12,Business Owner,High,9000000051
C00053,Citizen_53,F,1998-02-02,Private Employee,Middle,9000000052
C00054,Citizen_54,F,1971-06-26,Unemployed,Middle,9000000053
C00055,Citizen_55,M,1976-01-22,Private Employee,High,9000000054
C00056,Citizen_56,M,1969-07-19,Business Owner,Low,9000000055
C00057,Citizen_57,F,2005-04-22,Unemployed,High,9000000056
C00058,Citizen_58,F,1971-08-12,Retired,High,9000000057
C00059,Citizen_59,F,1977-07-17,Government Employee,Middle,9000000058
C00060,Citizen_60,M,1979-07-25,Student,Low,9000000059
C00061,Citizen_61,M,1964-12-08,Agricultural Labour,Low,9000000060
C00062,Citizen_62,M,1965-12-10,Retired,Low,9000000061
C00063,Citizen_63,F,2003-09-24,Private Employee,Middle,9000000062
C00064,Citizen_64,F,1992-11-22,Agricultural Labour,Middle,9000000063
