householdId,addressId,rationCard
HH0001,AD00001,RC10000
HH0002,AD00002,RC10001
HH0003,AD00003,RC10002
HH0004,AD00004,RC10003
HH0005,AD00005,RC10004
HH0006,AD00006,RC10005
HH0007,AD00007,RC10006
HH0008,AD00008,RC10007
HH0009,AD00009,RC10008
HH0010,AD00010,RC10009
HH0011,AD00011,RC10010
HH0012,AD00012,RC10011
HH0013,AD00013,RC10012
HH0014,AD00014,RC10013
HH0015,AD00015,RC10014
HH0016,AD00016,RC10015
HH0017,AD00017,RC10016
HH0018,AD00018,RC10017
HH0019,AD00019,RC10018
HH0020,AD00020,RC10019
HH0021,AD00021,RC10020
HH0022,AD00022,RC10021
HH0023,AD00023,RC10022
HH0024,AD00024,RC10023
HH0025,AD00025,RC10024
HH0026,AD00026,RC10025
HH0027,AD00027,RC10026
HH0028,AD00028,RC10027
HH0029,AD00029,RC10028
HH0030,AD00030,RC10029
HH0031,AD00031,RC10030
HH0032,AD00032,RC10031
HH0033,AD00033,RC10032
HH0034,AD00034,RC10033
HH0035,AD00035,RC10034
HH0036,AD00036,RC10035
HH0037,AD00037,RC10036
HH0038,AD00038,RC10037
HH0039,AD00039,RC10038
HH0040,AD00040,RC10039
HH0041,AD00041,RC10040
HH0042,AD00042,RC10041
HH0043,AD00043,RC10042
HH0044,AD00044,RC10043
HH0045,AD00045,RC10044
HH0046,AD00046,RC10045
HH0047,AD00047,RC10046
HH0048,AD00048,RC10047
HH0049,AD00049,RC10048
HH0050,AD00050,RC10049
HH0051,AD00051,RC10050
HH0052,AD00052,RC10051
HH0053,AD00053,RC10052
HH0054,AD00054,RC10053
HH0055,AD00055,RC10054
HH0056,AD00056,RC10055
HH0057,AD00057,RC10056
HH0058,AD00058,RC10057
HH0059,AD00059,RC10058
HH0060,AD00060,RC10059
HH0061,AD00061,RC10060
HH0062,AD00062,RC10061
HH0063,AD00063,RC10062
HH0064,AD00064,RC10063
HH0065,AD00065,RC10064
HH0066,AD00066,RC10065
HH0067,AD00067,RC10066
HH0068,AD00068,RC10067
HH0069,AD00069,RC10068
HH0070,AD00070,RC10069
HH0071,AD00071,RC10070
HH0072,AD00072,RC10071
HH0073,AD00073,RC10072
HH0074,AD00074,RC10073
HH0075,AD00075,RC10074
HH0076,AD00076,RC10075
HH0077,AD00077,RC10076
HH0078,AD00078,RC10077
HH0079,AD00079,RC10078
HH0080,AD00080,RC10079
HH0081,AD00081,RC10080
HH0082,AD00082,RC10081
HH0083,AD00083,RC10082
HH0084,AD00084,RC10083
HH0085,AD00085,RC10084
HH0086,AD00086,RC10085
HH0087,AD00087,RC10086
HH0088,AD00088,RC10087
HH0089,AD00089,RC10088
HH0090,AD00090,RC10089
HH0091,AD00091,RC10090
HH0092,AD00092,RC10091
HH0093,AD00093,RC10092
HH0094,AD00094,RC10093
HH0095,AD00095,RC10094
HH0096,AD00096,RC10095
HH0097,AD00097,RC10096
HH0098,AD00098,RC10097
HH0099,AD00099,RC10098
HH0100,AD00100,RC10099
HH0101,AD00101,RC10100
HH0102,AD00102,RC10101
HH0103,AD00103,RC10102
HH0104,AD00104,RC10103
HH0105,AD00105,RC10104
HH0106,AD00106,RC10105
HH0107,AD00107,RC10106
HH0108,AD00108,RC10107
HH0109,AD00109,RC10108
HH0110,AD00110,RC10109
HH0111,AD00111,RC10110
HH0112,AD00112,RC10111
HH0113,AD00113,RC10112
HH0114,AD00114,RC10113
HH0115,AD00115,RC10114
HH0116,AD00116,RC10115
HH0117,AD00117,RC10116
HH0118,AD00118,RC10117
HH0119,AD00119,RC10118
HH0120,AD00120,RC10119
HH0121,AD00121,RC10120
HH0122,AD00122,RC10121
HH0123,AD00123,RC10122
HH0124,AD00124,RC10123
HH0125,AD00125,RC10124
HH0126,AD00126,RC10125
HH0127,AD00127,RC10126
HH0128,AD00128,RC10127
HH0129,AD00129,RC10128
HH0130,AD00130,RC10129
HH0131,AD00131,RC10130
HH0132,AD00132,RC10131
HH0133,AD00133,RC10132
HH0134,AD00134,RC10133
HH0135,AD00135,RC10134
HH0136,AD00136,RC10135
HH0137,AD00137,RC10136
HH0138,AD00138,RC10137
HH0139,AD00139,RC10138
HH0140,AD00140,RC10139
HH0141,AD00141,RC10140
HH0142,AD00142,RC10141
HH0143,AD00143,RC10142
HH0144,AD00144,RC10143
HH0145,AD00145,RC10144
HH0146,AD00146,RC10145
HH0147,AD00147,RC10146
HH0148,AD00148,RC10147
